id,name,price,user_id,description,condition,delivery_cost,delivery_origin,preparatory_days,category_id,size_id,delivery_way,brand
1,コート,5300,2,おしゃれ,2,2,1,3,34,5,ゆうメール,バーバリー
2,スカート,46100,2,おしゃれ,4,2,13,2,59,3,クロネコヤマト,ローリーズ ファーム
3,カットソー,14400,1,おしゃれ,4,1,23,1,4,4,ゆうパック,アーバン リサーチ
4,タートルネックニット,7500,1,おしゃれ,5,1,17,1,11,3,ゆうパック,アーバン リサーチ
5,カーディガン,19500,2,おしゃれ,5,1,3,1,13,3,未定,アーバン リサーチ
6,ワンピース,30000,2,おしゃれ,5,1,29,1,62,5,クロネコヤマト,アーバン リサーチ
7,パーカー,23600,2,おしゃれ,1,2,47,1,214,4,未定,
8,Tシャツ,39200,1,おしゃれ,4,2,20,3,208,3,クロネコヤマト,ステューシー
9,マウンテンパーカー,7000,1,おしゃれ,2,2,31,2,239,4,未定,ザ ノースフェイス
10,ジーンズ,36600,2,おしゃれ,4,2,44,3,245,5,ゆうメール,
11,スーツ,21600,2,おしゃれ,4,1,47,1,280,4,未定,ナノ ユニバース
12,モッズコート,17200,1,おしゃれ,5,2,8,3,234,4,ゆうパック,フレッド ペリー
13,エスプレッソマシン,27900,2,とても便利,2,2,29,2,979,,クロネコヤマト,
14,iPad Pro,20200,2,とても便利,5,2,15,1,916,,ゆうメール,
15,カメラ,41700,2,とても便利,1,2,26,1,925,,クロネコヤマト,
16,ダイソンHot & Cool,44300,1,とても便利,5,1,44,2,961,,ゆうパック,
17,ダイソン掃除機,44400,2,とても便利,2,1,9,3,978,,クロネコヤマト,
18,GoPro Hero8,12300,1,とても便利,2,2,46,2,925,,未定,
19,シルバニアハウス,5900,2,楽しい,4,2,46,2,688,,クロネコヤマト,
20,ガンプラ ストライクフリーダムガンダム,9400,1,楽しい,4,2,47,1,694,,ゆうパック,
21,遊戯王カード,23700,1,楽しい,2,1,32,1,714,,ゆうメール,
22,プリキュア変身グッズ,33200,1,楽しい,5,2,10,2,688,,ゆうメール,
23,STAR WARSフィギュア,36100,1,楽しい,4,2,23,2,732,,ゆうメール,
24,ラジコン,23200,2,楽しい,4,1,28,3,695,,ゆうメール,
25,ショルダーバッグ,31700,2,おしゃれ,2,2,8,3,108,,クロネコヤマト,シャネル
26,財布,41200,2,おしゃれ,4,1,40,3,138,,クロネコヤマト,シャネル
27,ウェストバッグ,49200,1,おしゃれ,4,1,4,1,111,,ゆうパック,シャネル
28,フレグランス,30300,1,おしゃれ,5,2,30,3,838,,クロネコヤマト,シャネル
29,ブレスレット,8800,1,おしゃれ,5,2,38,1,122,,未定,シャネル
30,フレグランス,22200,2,おしゃれ,1,1,14,1,839,,未定,シャネル
31,バックパック,45400,1,おしゃれ,1,2,21,2,105,,ゆうパック,ルイヴィトン
32,財布,10300,2,おしゃれ,2,2,14,3,138,,ゆうパック,ルイヴィトン
33,ボストンバッグ,13600,1,おしゃれ,5,1,13,3,106,,ゆうメール,ルイヴィトン
34,フレグランス,15800,2,おしゃれ,2,1,35,1,838,,クロネコヤマト,ルイヴィトン
35,マフラー,34300,1,おしゃれ,5,1,47,2,147,,ゆうパック,ルイヴィトン
36,キーホルダー,29800,2,おしゃれ,5,1,1,2,143,,未定,ルイヴィトン
37,パーカー,20700,1,おしゃれ,4,2,36,3,214,5,ゆうメール,シュープリーム
38,スーツケース,24000,1,おしゃれ,4,2,9,3,275,,ゆうパック,シュープリーム
39,キャップ,41100,2,おしゃれ,2,2,47,3,283,,ゆうメール,シュープリーム
40,脚立,6100,2,おしゃれ,2,1,32,3,550,,ゆうパック,シュープリーム
41,パーカー,35000,1,おしゃれ,4,2,9,2,214,3,ゆうパック,シュープリーム
42,キャップ,25000,1,おしゃれ,4,1,33,3,283,,クロネコヤマト,シュープリーム
43,スニーカー,15500,2,おしゃれ,4,2,39,3,255,,未定,ナイキ
44,パーカー,42900,1,おしゃれ,3,1,1,3,16,5,ゆうパック,ナイキ
45,スニーカー,35500,2,おしゃれ,1,1,34,3,255,,ゆうパック,ナイキ
46,スニーカー,16300,1,おしゃれ,2,1,14,3,255,,ゆうメール,ナイキ
